CarID	DIRECTION	ARRIVAL-TIME	CROSS-TIME	  Wait Time
1		N	 21:52:10	 21:52:10	  0 
5		N	 21:52:11	 21:52:11	  0 
8		N	 21:52:12	 21:52:12	  0 
10		N	 21:52:13	 21:52:13	  0 
4		W	 21:52:10	 21:52:14	  4 
6		W	 21:52:11	 21:52:15	  4 
9		W	 21:52:12	 21:52:16	  4 
11		W	 21:52:13	 21:52:17	  4 
3		E	 21:52:10	 21:52:18	  8 
2		S	 21:52:10	 21:52:19	  9 
13		E	 21:52:15	 21:52:20	  5 
7		S	 21:52:12	 21:52:21	  9 
12		S	 21:52:14	 21:52:22	  8 
15		S	 21:52:16	 21:52:23	  7 
19		S	 21:52:18	 21:52:24	  6 
22		S	 21:52:19	 21:52:25	  6 
23		S	 21:52:21	 21:52:26	  5 
25		S	 21:52:26	 21:52:27	  1 
26		S	 21:52:28	 21:52:28	  0 
14		E	 21:52:16	 21:52:29	  13 
16		E	 21:52:17	 21:52:30	  13 
18		E	 21:52:18	 21:52:31	  13 
17		W	 21:52:17	 21:52:32	  15 
20		W	 21:52:19	 21:52:33	  14 
24		W	 21:52:24	 21:52:34	  10 
21		E	 21:52:19	 21:52:35	  16 
27		E	 21:52:29	 21:52:36	  7 
30		E	 21:52:31	 21:52:37	  6 
32		E	 21:52:33	 21:52:38	  5 
35		E	 21:52:35	 21:52:39	  4 
37		E	 21:52:36	 21:52:40	  4 
39		E	 21:52:38	 21:52:41	  3 
41		E	 21:52:39	 21:52:42	  3 
42		E	 21:52:40	 21:52:43	  3 
44		E	 21:52:42	 21:52:44	  2 
29		W	 21:52:29	 21:52:45	  16 
31		W	 21:52:32	 21:52:46	  14 
38		W	 21:52:36	 21:52:47	  11 
43		W	 21:52:40	 21:52:48	  8 
28		S	 21:52:29	 21:52:49	  20 
34		S	 21:52:35	 21:52:50	  15 
40		S	 21:52:38	 21:52:51	  13 
46		S	 21:52:49	 21:52:52	  3 
45		E	 21:52:48	 21:52:53	  5 
47		E	 21:52:50	 21:52:54	  4 
49		E	 21:52:53	 21:52:55	  2 
50		E	 21:52:54	 21:52:56	  2 
52		E	 21:52:55	 21:52:57	  2 
33		N	 21:52:34	 21:52:58	  24 
36		N	 21:52:35	 21:52:59	  24 
54		N	 21:52:56	 21:53:0	  4 
55		E	 21:52:56	 21:53:1	  5 
56		E	 21:52:57	 21:53:2	  5 
59		E	 21:52:59	 21:53:3	  4 
61		E	 21:53:0	 21:53:4	  4 
63		E	 21:53:1	 21:53:5	  4 
67		E	 21:53:3	 21:53:6	  3 
69		E	 21:53:5	 21:53:7	  2 
51		S	 21:52:54	 21:53:8	  14 
64		S	 21:53:1	 21:53:9	  8 
66		S	 21:53:2	 21:53:10	  8 
